"GDP by Region (2005 US dollars)"
""	"2010"	"2015"	"2020"	"2025"	"2030"	"2035"	"2040"	"2045"	"2050"	"2055"	"2060"	"2065"	"2070"	"2075"	"2080"	"2085"	"2090"	"2095"	"2100"
"CYP"	1.979618E+10	2.272516E+10	2.660526E+10	3.023339E+10	3.418882E+10	3.758765E+10	3.918032E+10	3.932508E+10	3.944232E+10	4.004770E+10	4.131765E+10	4.329841E+10	4.349643E+10	4.246310E+10	4.123529E+10	3.995280E+10	3.934863E+10	3.929783E+10	3.913424E+10
"CZE"	2.290000E+11	2.575790E+11	2.951581E+11	3.286067E+11	3.636537E+11	3.929793E+11	4.051224E+11	4.044513E+11	4.054303E+11	4.117620E+11	4.252425E+11	4.469431E+11	4.518064E+11	4.452751E+11	4.374032E+11	4.289209E+11	4.271904E+11	4.308963E+11	4.337741E+11
"DEU"	2.800000E+12	2.998894E+12	3.256325E+12	3.478327E+12	3.748920E+12	4.052821E+12	4.307981E+12	4.465581E+12	4.519980E+12	4.584491E+12	4.722976E+12	4.807694E+12	4.821104E+12	4.742384E+12	4.684411E+12	4.596578E+12	4.517854E+12	4.456460E+12	4.378564E+12
"DJI"	2.7289509E+9	3.5607106E+9	4.9570643E+9	7.2586152E+9	1.098914E+10	1.616996E+10	2.230348E+10	2.885467E+10	3.496984E+10	4.013488E+10	4.405910E+10	4.600882E+10	4.574909E+10	4.445393E+10	4.256527E+10	4.019886E+10	3.738319E+10	3.437107E+10	3.108906E+10
"DNK"	1.960000E+11	2.104687E+11	2.304225E+11	2.497541E+11	2.744736E+11	3.033902E+11	3.304562E+11	3.519326E+11	3.671722E+11	3.849044E+11	4.104192E+11	4.323673E+11	4.481204E+11	4.548978E+11	4.630264E+11	4.673549E+11	4.714651E+11	4.763558E+11	4.787099E+11
"DOM"	8.781745E+10	1.098197E+11	1.337462E+11	1.632976E+11	1.994138E+11	2.367946E+11	2.679081E+11	2.909488E+11	3.050894E+11	3.145857E+11	3.198173E+11	3.206576E+11	3.145607E+11	3.019567E+11	2.937835E+11	2.818726E+11	2.667978E+11	2.492295E+11	2.298913E+11
"ECU"	9.914940E+10	1.239006E+11	1.513747E+11	1.860273E+11	2.292605E+11	2.753165E+11	3.153902E+11	3.469846E+11	3.686325E+11	3.848532E+11	3.958275E+11	4.012089E+11	3.975634E+11	3.851851E+11	3.778855E+11	3.653049E+11	3.480234E+11	3.268462E+11	3.026335E+11
"EGY"	4.930000E+11	6.280955E+11	8.773437E+11	1.181379E+12	1.565657E+12	1.986402E+12	2.341275E+12	2.607006E+12	2.761759E+12	2.890055E+12	2.997954E+12	3.053243E+12	2.974655E+12	2.826867E+12	2.700737E+12	2.602509E+12	2.490434E+12	2.390849E+12	2.230343E+12
"ESP"	1.290000E+12	1.391419E+12	1.520038E+12	1.634942E+12	1.778973E+12	1.948026E+12	2.103201E+12	2.216878E+12	2.280124E+12	2.344854E+12	2.441998E+12	2.506435E+12	2.530793E+12	2.507831E+12	2.499444E+12	2.478031E+12	2.461482E+12	2.451833E+12	2.430475E+12
"EST"	2.386834E+10	2.581647E+10	2.857666E+10	3.080484E+10	3.308785E+10	3.476994E+10	3.489464E+10	3.393029E+10	3.314252E+10	3.286056E+10	3.320060E+10	3.419787E+10	3.391862E+10	3.282842E+10	3.170544E+10	3.061288E+10	3.006783E+10	2.994650E+10	2.981217E+10
"ETH"	8.284494E+10	1.142619E+11	1.680328E+11	2.602941E+11	4.171393E+11	6.482933E+11	9.396461E+11	1.270356E+12	1.603091E+12	1.910484E+12	2.172203E+12	2.341835E+12	2.394474E+12	2.383039E+12	2.328914E+12	2.237780E+12	2.111092E+12	1.963977E+12	1.793681E+12
"FIN"	1.750000E+11	1.897632E+11	2.090424E+11	2.270160E+11	2.490421E+11	2.740666E+11	2.967538E+11	3.140708E+11	3.256787E+11	3.393903E+11	3.596470E+11	3.763571E+11	3.873779E+11	3.906204E+11	3.951297E+11	3.966061E+11	3.981482E+11	4.004843E+11	4.008329E+11
"FJI"	3.8530413E+9	4.7964887E+9	6.1356342E+9	7.9727417E+9	1.047434E+10	1.344449E+10	1.619262E+10	1.822237E+10	1.937551E+10	1.976921E+10	1.963318E+10	1.883137E+10	1.769738E+10	1.661769E+10	1.542825E+10	1.422064E+10	1.306150E+10	1.210283E+10	1.098424E+10
"FRA"	1.950000E+12	2.111521E+12	2.325716E+12	2.528385E+12	2.784825E+12	3.084928E+12	3.365955E+12	3.587445E+12	3.741609E+12	3.918516E+12	4.171323E+12	4.385480E+12	4.537500E+12	4.601754E+12	4.683789E+12	4.729308E+12	4.775607E+12	4.832240E+12	4.865277E+12
